Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Subcellular location [CC]	Gene ontology (cellular component)	Gene ontology (biological process)
P18206	VINC_HUMAN	reviewed	Vinculin (Metavinculin) (MV)	VCL	Homo sapiens (Human)	1134	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P12003}; Peripheral membrane protein {ECO:0000250|UniProtKB:P12003}; Cytoplasmic side {ECO:0000250|UniProtKB:P12003}. Cell junction, adherens junction {ECO:0000250|UniProtKB:P12003}. Cell junction, focal adhesion {ECO:0000250|UniProtKB:P12003}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:P85972}. Note=Recruitment to cell-cell junctions occurs in a myosin II-dependent manner. Interaction with CTNNB1 is necessary for its localization to the cell-cell junctions. {ECO:0000250|UniProtKB:P12003}.	actin cytoskeleton [GO:0015629]; adherens junction [GO:0005912]; brush border [GO:0005903]; cell [GO:0005623]; cell-cell adherens junction [GO:0005913]; cell-cell junction [GO:0005911]; cell-substrate junction [GO:0030055]; costamere [GO:0043034]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular vesicle [GO:1903561]; fascia adherens [GO:0005916]; focal adhesion [GO:0005925]; inner dense plaque of desmosome [GO:0090637]; membrane raft [GO:0045121]; outer dense plaque of desmosome [GO:0090636]; plasma membrane [GO:0005886]; protein complex [GO:0043234]; terminal web [GO:1990357]; zonula adherens [GO:0005915]	adherens junction assembly [GO:0034333]; apical junction assembly [GO:0043297]; axon extension [GO:0048675]; cell adhesion [GO:0007155]; cell-matrix adhesion [GO:0007160]; epithelial cell-cell adhesion [GO:0090136]; lamellipodium assembly [GO:0030032]; morphogenesis of an epithelium [GO:0002009]; movement of cell or subcellular component [GO:0006928]; muscle contraction [GO:0006936]; negative regulation of cell migration [GO:0030336]; platelet aggregation [GO:0070527]; platelet degranulation [GO:0002576]; protein localization to cell surface [GO:0034394]
P06733	ENOA_HUMAN	reviewed	Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (C-myc promoter-binding protein) (Enolase 1) (MBP-1) (MPB-1) (Non-neural enolase) (NNE) (Phosphopyruvate hydratase) (Plasminogen-binding protein)	ENO1 ENO1L1 MBPB1 MPB1	Homo sapiens (Human)	434	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10802057}. Cell membrane {ECO:0000269|PubMed:10802057}. Cytoplasm, myofibril, sarcomere, M line {ECO:0000269|PubMed:10802057}. Note=Can translocate to the plasma membrane in either the homodimeric (alpha/alpha) or heterodimeric (alpha/gamma) form. ENO1 is localized to the M line.; SUBCELLULAR LOCATION: Isoform MBP-1: Nucleus.	cell-cell adherens junction [GO:0005913]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; extrinsic component of plasma membrane [GO:0019897]; M band [GO:0031430]; membrane [GO:0016020]; myelin sheath [GO:0043209]; nucleus [GO:0005634]; phosphopyruvate hydratase complex [GO:0000015]	canonical glycolysis [GO:0061621]; gluconeogenesis [GO:0006094]; in utero embryonic development [GO:0001701]; negative regulation of cell growth [GO:0030308]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; positive regulation of binding [GO:0051099]; response to virus [GO:0009615]; transcription, DNA-templated [GO:0006351]
O60506	HNRPQ_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein Q (hnRNP Q) (Glycine- and tyrosine-rich RNA-binding protein) (GRY-RBP) (NS1-associated protein 1) (Synaptotagmin-binding, cytoplasmic RNA-interacting protein)	SYNCRIP HNRPQ NSAP1	Homo sapiens (Human)	623	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11574476, ECO:0000269|PubMed:17289661, ECO:0000269|PubMed:19029303}. Microsome {ECO:0000250|UniProtKB:Q7TMK9}. Endoplasmic reticulum {ECO:0000250}. Nucleus {ECO:0000250|UniProtKB:Q7TMK9}. Note=The tyrosine phosphorylated form bound to RNA is found in microsomes (By similarity). Localized in cytoplasmic mRNP granules containing untranslated mRNAs (By similarity). {ECO:0000250|UniProtKB:O43390, ECO:0000250|UniProtKB:Q7TMK9}.; SUBCELLULAR LOCATION: Isoform 1: Nucleus, nucleoplasm {ECO:0000250|UniProtKB:Q7TMK9}. Note=Expressed predominantly in the nucleoplasm. {ECO:0000250|UniProtKB:Q7TMK9}.; SUBCELLULAR LOCATION: Isoform 2: Nucleus, nucleoplasm {ECO:0000250|UniProtKB:Q7TMK9}. Note=Expressed predominantly in the nucleoplasm. {ECO:0000250|UniProtKB:Q7TMK9}.; SUBCELLULAR LOCATION: Isoform 3: Nucleus, nucleoplasm {ECO:0000250|UniProtKB:Q7TMK9}. Note=Expressed predominantly in the nucleoplasm. {ECO:0000250|UniProtKB:Q7TMK9}.	catalytic step 2 spliceosome [GO:0071013]; CRD-mediated mRNA stability complex [GO:0070937]; endoplasmic reticulum [GO:0005783]; GAIT complex [GO:0097452]; histone pre-mRNA 3'end processing complex [GO:0071204]; intracellular ribonucleoprotein complex [GO:0030529]; membrane [GO:0016020]; neuronal cell body [GO:0043025]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; proximal dendrite [GO:1990635]	cellular response to interferon-gamma [GO:0071346]; circadian rhythm [GO:0007623]; CRD-mediated mRNA stabilization [GO:0070934]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of mRNA modification [GO:0090367]; negative regulation of translation [GO:0017148]; osteoblast differentiation [GO:0001649]; positive regulation of translation [GO:0045727]; RNA processing [GO:0006396]; RNA splicing [GO:0008380]; viral process [GO:0016032]
P49411	EFTU_HUMAN	reviewed	Elongation factor Tu, mitochondrial (EF-Tu) (P43)	TUFM	Homo sapiens (Human)	452	SUBCELLULAR LOCATION: Mitochondrion.	extracellular exosome [GO:0070062]; membrane [GO:0016020]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]	mitochondrial translational elongation [GO:0070125]; translational elongation [GO:0006414]
B2R4D5	B2R4D5_HUMAN	unreviewed	Actin-related protein 2/3 complex subunit 3 (Arp2/3 complex 21 kDa subunit)		Homo sapiens (Human)	178	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000256|PIRNR:PIRNR016315}.	Arp2/3 protein complex [GO:0005885]; cytoplasm [GO:0005737]	Arp2/3 complex-mediated actin nucleation [GO:0034314]
Q6IBR2	Q6IBR2_HUMAN	unreviewed	FARSLA protein (Phenylalanine-tRNA synthetase-like, alpha subunit, isoform CRA_b) (cDNA FLJ34774 fis, clone NT2NE2003309, highly similar to Phenylalanyl-tRNA synthetase alpha chain (EC 6.1.1.20))	FARSLA hCG_172485	Homo sapiens (Human)	508		cytoplasm [GO:0005737]	phenylalanyl-tRNA aminoacylation [GO:0006432]
P42766	RL35_HUMAN	reviewed	60S ribosomal protein L35	RPL35	Homo sapiens (Human)	123		cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; membrane [GO:0016020]; nucleolus [GO:0005730]	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; rRNA processing [GO:0006364]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]
P61758	PFD3_HUMAN	reviewed	Prefoldin subunit 3 (HIBBJ46) (Von Hippel-Lindau-binding protein 1) (VBP-1) (VHL-binding protein 1)	VBP1 PFDN3	Homo sapiens (Human)	197	SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Note=In complex with VHL can translocate to the nucleus.	cytoplasm [GO:0005737]; intracellular membrane-bounded organelle [GO:0043231]; nucleus [GO:0005634]; polysome [GO:0005844]; prefoldin complex [GO:0016272]	microtubule-based process [GO:0007017]; protein folding [GO:0006457]; tubulin complex assembly [GO:0007021]
O60664	PLIN3_HUMAN	reviewed	Perilipin-3 (47 kDa mannose 6-phosphate receptor-binding protein) (47 kDa MPR-binding protein) (Cargo selection protein TIP47) (Mannose-6-phosphate receptor-binding protein 1) (Placental protein 17) (PP17)	PLIN3 M6PRBP1 TIP47	Homo sapiens (Human)	434	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15545278, ECO:0000269|PubMed:9590177}. Endosome membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Lipid droplet {ECO:0000305}. Note=Membrane associated on endosomes. Detected in the envelope and the core of lipid bodies and in lipid sails.	cell-cell adherens junction [GO:0005913]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endosome [GO:0005768]; endosome membrane [GO:0010008]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; lipid particle [GO:0005811]; membrane [GO:0016020]; transport vesicle [GO:0030133]	vesicle-mediated transport [GO:0016192]
Q9Y490	TLN1_HUMAN	reviewed	Talin-1	TLN1 KIAA1027 TLN	Homo sapiens (Human)	2541	SUBCELLULAR LOCATION: Cell projection, ruffle membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}. Cell surface {ECO:0000250}. Cell junction, focal adhesion {ECO:0000250}. Note=Colocalizes with LAYN at the membrane ruffles. Localized preferentially in focal adhesions than fibrillar adhesions (By similarity). {ECO:0000250}.	cell-cell adherens junction [GO:0005913]; cell-cell junction [GO:0005911]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; focal adhesion [GO:0005925]; microtubule organizing center [GO:0005815]; plasma membrane [GO:0005886]; ruffle [GO:0001726]; ruffle membrane [GO:0032587]	cell-cell junction assembly [GO:0007043]; cell-substrate junction assembly [GO:0007044]; cortical actin cytoskeleton organization [GO:0030866]; cytoskeletal anchoring at plasma membrane [GO:0007016]; IRE1-mediated unfolded protein response [GO:0036498]; movement of cell or subcellular component [GO:0006928]; muscle contraction [GO:0006936]; platelet aggregation [GO:0070527]; platelet degranulation [GO:0002576]; viral process [GO:0016032]
Q712K3	UB2R2_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 R2 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme R2) (Ubiquitin carrier protein R2) (Ubiquitin-conjugating enzyme E2-CDC34B) (Ubiquitin-protein ligase R2)	UBE2R2 CDC34B UBC3B	Homo sapiens (Human)	238		cytoplasm [GO:0005737]	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein K48-linked ubiquitination [GO:0070936]; protein monoubiquitination [GO:0006513]
Q1L838	Q1L838_HUMAN	unreviewed	GTBP-ALT	GTBP	Homo sapiens (Human)	1068			mismatch repair [GO:0006298]
Q99829	CPNE1_HUMAN	reviewed	Copine-1 (Chromobindin 17) (Copine I)	CPNE1 CPN1	Homo sapiens (Human)	537	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:18212740, ECO:0000269|PubMed:21087455}. Cytoplasm {ECO:0000269|PubMed:12949241, ECO:0000269|PubMed:18212740, ECO:0000269|PubMed:21087455, ECO:0000269|PubMed:25450385}. Cell membrane {ECO:0000269|PubMed:21087455, ECO:0000269|PubMed:25450385}. Note=Translocates to the cell membrane in a calcium-dependent manner (PubMed:21087455, PubMed:25450385). {ECO:0000269|PubMed:21087455, ECO:0000269|PubMed:25450385}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	cellular response to calcium ion [GO:0071277]; glycerophospholipid biosynthetic process [GO:0046474]; lipid metabolic process [GO:0006629]; negative regulation of DNA binding [GO:0043392]; negative regulation of gene expression [GO:0010629]; negative regulation of NIK/NF-kappaB signaling [GO:1901223]; neuron projection extension [GO:1990138]; positive regulation of neuron differentiation [GO:0045666]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of tumor necrosis factor-mediated signaling pathway [GO:1903265]; proteolysis [GO:0006508]; regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043122]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]; vesicle-mediated transport [GO:0016192]
P42785	PCP_HUMAN	reviewed	Lysosomal Pro-X carboxypeptidase (EC 3.4.16.2) (Angiotensinase C) (Lysosomal carboxypeptidase C) (Proline carboxypeptidase) (Prolylcarboxypeptidase) (PRCP)	PRCP PCP	Homo sapiens (Human)	496	SUBCELLULAR LOCATION: Lysosome.	basal part of cell [GO:0045178]; extracellular exosome [GO:0070062]; lysosome [GO:0005764]; plasma membrane [GO:0005886]	angiogenesis involved in wound healing [GO:0060055]; blood coagulation, intrinsic pathway [GO:0007597]; energy homeostasis [GO:0097009]; glucose homeostasis [GO:0042593]; negative regulation of systemic arterial blood pressure [GO:0003085]; plasma kallikrein-kinin cascade [GO:0002353]; regulation of blood vessel endothelial cell migration [GO:0043535]; regulation of reactive oxygen species metabolic process [GO:2000377]; regulation of thyroid hormone mediated signaling pathway [GO:0002155]
Q5T6W5	Q5T6W5_HUMAN		Deleted.						
P12955	PEPD_HUMAN	reviewed	Xaa-Pro dipeptidase (X-Pro dipeptidase) (EC 3.4.13.9) (Imidodipeptidase) (Peptidase D) (Proline dipeptidase) (Prolidase)	PEPD PRD	Homo sapiens (Human)	493		extracellular exosome [GO:0070062]	cellular amino acid metabolic process [GO:0006520]; collagen catabolic process [GO:0030574]; proteolysis [GO:0006508]
Q14329	Q14329_HUMAN	unreviewed	Farnesyl pyrophosphate synthetase like-4 protein (Fragment)		Homo sapiens (Human)	348			isoprenoid biosynthetic process [GO:0008299]
Q14847	LASP1_HUMAN	reviewed	LIM and SH3 domain protein 1 (LASP-1) (Metastatic lymph node gene 50 protein) (MLN 50)	LASP1 MLN50	Homo sapiens (Human)	261	SUBCELLULAR LOCATION: Cytoplasm, cell cortex {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}. Note=Associated with the F-actin rich cortical cytoskeleton. {ECO:0000250}.	cell-cell adherens junction [GO:0005913]; cortical actin cytoskeleton [GO:0030864]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]	ion transport [GO:0006811]
P30101	PDIA3_HUMAN	reviewed	Protein disulfide-isomerase A3 (EC 5.3.4.1) (58 kDa glucose-regulated protein) (58 kDa microsomal protein) (p58) (Disulfide isomerase ER-60) (Endoplasmic reticulum resident protein 57) (ER protein 57) (ERp57) (Endoplasmic reticulum resident protein 60) (ER protein 60) (ERp60)	PDIA3 ERP57 ERP60 GRP58	Homo sapiens (Human)	505	SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000269|PubMed:23826168}. Endoplasmic reticulum lumen {ECO:0000250}. Melanosome {ECO:0000269|PubMed:12643545, ECO:0000269|PubMed:17081065}. Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV (PubMed:12643545). {ECO:0000269|PubMed:12643545}.	cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; melanosome [GO:0042470]; myelin sheath [GO:0043209]; nucleus [GO:0005634]	antigen processing and presentation of peptide antigen via MHC class I [GO:0002474]; cell redox homeostasis [GO:0045454]; positive regulation of extrinsic apoptotic signaling pathway [GO:2001238]; protein folding [GO:0006457]; protein folding in endoplasmic reticulum [GO:0034975]; protein import into nucleus [GO:0006606]; protein retention in ER lumen [GO:0006621]; response to endoplasmic reticulum stress [GO:0034976]; signal transduction [GO:0007165]
Q6IBR8	Q6IBR8_HUMAN	unreviewed	EIF2S2 protein (Eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa) (Eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa, isoform CRA_b) (cDNA, FLJ93495, highly similar to Homo sapiens eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa (EIF2S2), mRNA)	EIF2S2 hCG_2018881	Homo sapiens (Human)	333			in utero embryonic development [GO:0001701]; male germ cell proliferation [GO:0002176]; male gonad development [GO:0008584]
O75369	FLNB_HUMAN	reviewed	Filamin-B (FLN-B) (ABP-278) (ABP-280 homolog) (Actin-binding-like protein) (Beta-filamin) (Filamin homolog 1) (Fh1) (Filamin-3) (Thyroid autoantigen) (Truncated actin-binding protein) (Truncated ABP)	FLNB FLN1L FLN3 TABP TAP	Homo sapiens (Human)	2602	SUBCELLULAR LOCATION: Isoform 1: Cytoplasm, cell cortex. Cytoplasm, cytoskeleton. Cytoplasm, myofibril, sarcomere, Z line. Note=In differentiating myotubes, isoform 1, isoform 2 and isoform 3 are localized diffusely throughout the cytoplasm with regions of enrichment at the longitudinal actin stress fiber. In differentiated tubes, isoform 1 is also detected within the Z-lines.; SUBCELLULAR LOCATION: Isoform 2: Cytoplasm, cytoskeleton. Note=Predominantly localized at actin stress fibers.; SUBCELLULAR LOCATION: Isoform 3: Cytoplasm, cytoskeleton. Note=Predominantly localized at actin stress fibers.; SUBCELLULAR LOCATION: Isoform 6: Cytoplasm, cytoskeleton. Note=Polarized at the periphery of myotubes.	actin cytoskeleton [GO:0015629]; brush border [GO:0005903]; cell-cell adherens junction [GO:0005913]; cell cortex [GO:0005938]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; focal adhesion [GO:0005925]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; stress fiber [GO:0001725]; Z disc [GO:0030018]	actin cytoskeleton organization [GO:0030036]; cytoskeletal anchoring at plasma membrane [GO:0007016]; epithelial cell morphogenesis [GO:0003382]; keratinocyte development [GO:0003334]; signal transduction [GO:0007165]; skeletal muscle tissue development [GO:0007519]
Q9NZZ3	CHMP5_HUMAN	reviewed	Charged multivesicular body protein 5 (Chromatin-modifying protein 5) (SNF7 domain-containing protein 2) (Vacuolar protein sorting-associated protein 60) (Vps60) (hVps60)	CHMP5 C9orf83 SNF7DC2 CGI-34 HSPC177 PNAS-114 PNAS-2	Homo sapiens (Human)	219	SUBCELLULAR LOCATION: Cytoplasm, cytosol. Endosome membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}. Note=Localizes to the midbody of dividing cells. Localized in two distinct rings on either side of the Fleming body.	cell-cell adherens junction [GO:0005913]; cytosol [GO:0005829]; endosome membrane [GO:0010008]; extracellular exosome [GO:0070062]; nucleus [GO:0005634]	cell separation after cytokinesis [GO:0000920]; endosomal transport [GO:0016197]; endosome to lysosome transport [GO:0008333]; ESCRT III complex disassembly [GO:1904903]; lysosome organization [GO:0007040]; mitotic metaphase plate congression [GO:0007080]; multivesicular body assembly [GO:0036258]; multivesicular body sorting pathway [GO:0071985]; nucleus organization [GO:0006997]; protein transport [GO:0015031]; regulation of centrosome duplication [GO:0010824]; regulation of mitotic spindle assembly [GO:1901673]; regulation of receptor recycling [GO:0001919]; viral budding [GO:0046755]; viral life cycle [GO:0019058]
P31948	STIP1_HUMAN	reviewed	Stress-induced-phosphoprotein 1 (STI1) (Hsc70/Hsp90-organizing protein) (Hop) (Renal carcinoma antigen NY-REN-11) (Transformation-sensitive protein IEF SSP 3521)	STIP1	Homo sapiens (Human)	543	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}.	Golgi apparatus [GO:0005794]; myelin sheath [GO:0043209]; nucleus [GO:0005634]; protein complex [GO:0043234]	response to stress [GO:0006950]
Q9BQ52	RNZ2_HUMAN	reviewed	Zinc phosphodiesterase ELAC protein 2 (EC 3.1.26.11) (ElaC homolog protein 2) (Heredity prostate cancer protein 2) (Ribonuclease Z 2) (RNase Z 2) (tRNA 3 endonuclease 2) (tRNase Z 2)	ELAC2 HPC2	Homo sapiens (Human)	826	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:21593607}. Nucleus {ECO:0000269|PubMed:21593607}. Note=Mainly mitochondrial.	mitochondrial matrix [GO:0005759]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	mitochondrial tRNA 3'-trailer cleavage, endonucleolytic [GO:0072684]; mitochondrial tRNA processing [GO:0090646]; tRNA 3'-end processing [GO:0042780]
P23284	PPIB_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (CYP-S1) (Cyclophilin B) (Rotamase B) (S-cyclophilin) (SCYLP)	PPIB CYPB	Homo sapiens (Human)	216	SUBCELLULAR LOCATION: Endoplasmic reticulum lumen {ECO:0000269|PubMed:1530944}. Melanosome {ECO:0000269|PubMed:17081065}. Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV (PubMed:17081065). {ECO:0000269|PubMed:17081065}.	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum chaperone complex [GO:0034663]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; macromolecular complex [GO:0032991]; melanosome [GO:0042470]; membrane [GO:0016020]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; smooth endoplasmic reticulum [GO:0005790]	bone development [GO:0060348]; chaperone-mediated protein folding [GO:0061077]; positive regulation by host of viral genome replication [GO:0044829]; positive regulation by host of viral process [GO:0044794]; positive regulation of multicellular organism growth [GO:0040018]; protein peptidyl-prolyl isomerization [GO:0000413]; protein stabilization [GO:0050821]
P78527	PRKDC_HUMAN	reviewed	DNA-dependent protein kinase catalytic subunit (DNA-PK catalytic subunit) (DNA-PKcs) (EC 2.7.11.1) (DNPK1) (p460)	PRKDC HYRC HYRC1	Homo sapiens (Human)	4128	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12231622, ECO:0000269|PubMed:14734805, ECO:0000269|PubMed:22002106}. Nucleus, nucleolus {ECO:0000269|PubMed:22002106}.	cytosol [GO:0005829]; DNA-dependent protein kinase-DNA ligase 4 complex [GO:0005958]; extracellular matrix [GO:0031012]; membrane [GO:0016020]; nonhomologous end joining complex [GO:0070419]; nuclear chromosome, telomeric region [GO:0000784]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; transcription factor complex [GO:0005667]	B cell lineage commitment [GO:0002326]; brain development [GO:0007420]; cell proliferation [GO:0008283]; cellular protein modification process [GO:0006464]; cellular response to insulin stimulus [GO:0032869]; double-strand break repair [GO:0006302]; double-strand break repair via alternative nonhomologous end joining [GO:0097681]; double-strand break repair via nonhomologous end joining [GO:0006303]; ectopic germ cell programmed cell death [GO:0035234]; heart development [GO:0007507]; immunoglobulin V(D)J recombination [GO:0033152]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cellular senescence [GO:2000773]; negative regulation of immunoglobulin production [GO:0002638]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of response to gamma radiation [GO:2001229]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of apoptotic process [GO:0043065]; positive regulation of developmental growth [GO:0048639]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of immune system process [GO:0002684]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; positive regulation of type I interferon production [GO:0032481]; pro-B cell differentiation [GO:0002328]; protein destabilization [GO:0031648]; regulation of circadian rhythm [GO:0042752]; regulation of smooth muscle cell proliferation [GO:0048660]; response to activity [GO:0014823]; response to gamma radiation [GO:0010332]; rhythmic process [GO:0048511]; signal transduction involved in mitotic G1 DNA damage checkpoint [GO:0072431]; somitogenesis [GO:0001756]; spleen development [GO:0048536]; T cell differentiation in thymus [GO:0033077]; T cell lineage commitment [GO:0002360]; T cell receptor V(D)J recombination [GO:0033153]; telomere capping [GO:0016233]; thymus development [GO:0048538]
Q8TDQ7	GNPI2_HUMAN	reviewed	Glucosamine-6-phosphate isomerase 2 (EC 3.5.99.6) (Glucosamine-6-phosphate deaminase 2) (GNPDA 2) (GlcN6P deaminase 2) (Glucosamine-6-phosphate isomerase SB52)	GNPDA2 GNP2	Homo sapiens (Human)	276	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]	glucose metabolic process [GO:0006006]; N-acetylglucosamine catabolic process [GO:0006046]; N-acetylneuraminate catabolic process [GO:0019262]; UDP-N-acetylglucosamine biosynthetic process [GO:0006048]
O00154	BACH_HUMAN	reviewed	Cytosolic acyl coenzyme A thioester hydrolase (EC 3.1.2.2) (Acyl-CoA thioesterase 7) (Brain acyl-CoA hydrolase) (BACH) (CTE-IIa) (CTE-II) (Long chain acyl-CoA thioester hydrolase)	ACOT7 BACH	Homo sapiens (Human)	380	SUBCELLULAR LOCATION: Isoform 4: Cytoplasm.; SUBCELLULAR LOCATION: Isoform 6: Cytoplasm.; SUBCELLULAR LOCATION: Isoform 1: Mitochondrion.; SUBCELLULAR LOCATION: Isoform 5: Mitochondrion.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]	coenzyme A biosynthetic process [GO:0015937]; long-chain fatty-acyl-CoA biosynthetic process [GO:0035338]; long-chain fatty-acyl-CoA catabolic process [GO:0036116]; medium-chain fatty acid biosynthetic process [GO:0051792]; medium-chain fatty-acyl-CoA catabolic process [GO:0036114]; palmitic acid biosynthetic process [GO:1900535]
Q00613	HSF1_HUMAN	reviewed	Heat shock factor protein 1 (HSF 1) (Heat shock transcription factor 1) (HSTF 1)	HSF1 HSTF1	Homo sapiens (Human)	529	SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Note=Cytoplasmic during normal growth. On activation, translocates to nuclear stress granules. Colocalizes with SUMO1 in nuclear stress granules.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; pronucleus [GO:0045120]; protein complex [GO:0043234]	cellular response to heat [GO:0034605]; defense response [GO:0006952]; embryonic placenta development [GO:0001892]; embryonic process involved in female pregnancy [GO:0060136]; female meiotic division [GO:0007143]; mRNA transcription [GO:0009299]; negative regulation of cell proliferation [GO:0008285]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; negative regulation of tumor necrosis factor production [GO:0032720]; positive regulation of multicellular organism growth [GO:0040018]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; protein phosphorylation [GO:0006468]; regulation of cellular response to heat [GO:1900034]; response to lipopolysaccharide [GO:0032496]; spermatogenesis [GO:0007283]
Q9NR45	SIAS_HUMAN	reviewed	Sialic acid synthase (N-acetylneuraminate synthase) (EC 2.5.1.56) (N-acetylneuraminate-9-phosphate synthase) (EC 2.5.1.57) (N-acetylneuraminic acid phosphate synthase) (N-acetylneuraminic acid synthase)	NANS SAS	Homo sapiens (Human)	359		cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]	lipopolysaccharide biosynthetic process [GO:0009103]
A6NP24	A6NP24_HUMAN	unreviewed	Quinone oxidoreductase (Fragment)	CRYZ	Homo sapiens (Human)	243			
